Gender,Programme,Total,MCQ,Q1,Q2,Q3,Q4,Q5
2,2,48,33,6,0,4,5,0
2,1,85,45,8,6,12,10,4
2,4,46,30,4,2,10,0,0
1,4,64,42,8,0,12,2,0
1,4,41,30,0,2,8,0,1
1,4,58,27,8,4,14,5,0
2,2,33,18,6,0,4,4,1
2,1,78,42,8,8,14,4,2
2,1,77,39,8,4,14,10,2
2,1,85,42,8,8,14,10,3
2,1,71,33,8,6,14,8,2
2,1,55,33,4,4,14,0,0
2,1,61,39,8,4,6,4,0
2,1,48,24,4,0,12,8,0
2,1,71,33,8,6,12,10,2
2,4,60,27,6,6,10,10,1
1,1,80,42,8,6,14,7,3
1,1,86,48,8,6,14,8,2
1,4,40,27,8,0,5,0,0
2,1,70,36,8,2,14,10,0
2,1,86,48,6,8,12,10,2
1,4,66,36,8,4,10,5,3
2,4,22,18,2,0,2,0,0
1,1,89,51,8,4,14,10,2
2,1,91,51,8,6,14,10,2
2,1,90,51,8,6,14,10,1
1,1,64,33,8,2,14,7,0
2,1,81,45,6,6,14,8,2
1,1,71,33,8,6,14,8,2
1,1,77,39,8,4,14,10,2
2,1,81,45,8,8,14,4,2
2,1,81,45,8,6,12,8,2
2,2,25,15,6,4,0,0,0
2,2,73,36,8,4,12,10,3
2,2,47,30,8,4,2,2,1
2,1,68,36,6,4,12,10,0
2,1,75,39,8,6,14,7,1
2,2,70,36,8,2,14,8,2
2,1,65,30,8,8,12,7,0
2,1,83,45,8,6,14,7,3
2,1,83,45,8,4,14,10,2
1,2,50,30,4,0,6,10,0
1,2,44,30,0,0,12,2,0
1,1,69,36,8,4,10,9,2
2,2,72,45,8,0,12,7,0
1,1,89,51,8,6,14,8,2
2,2,59,45,6,4,4,0,0
2,4,69,33,8,4,14,10,0
2,2,54,33,4,2,12,3,0
2,1,75,42,8,4,10,8,3
2,1,83,45,8,6,14,10,0
2,1,54,30,6,6,4,5,3
2,1,81,42,8,4,14,10,3
2,1,55,30,8,6,8,2,1
1,1,81,42,8,6,14,8,3
1,2,85,45,8,6,14,10,2
2,2,74,39,8,4,14,7,2
1,1,64,39,4,4,13,4,0
2,1,81,45,6,6,12,10,2
2,1,88,48,8,4,14,9,5
2,1,70,33,8,4,14,10,1
2,1,61,33,8,4,6,10,0
2,1,83,48,6,6,14,7,2
2,4,53,21,8,6,6,10,2
1,4,79,45,8,8,14,2,2
1,1,82,42,8,8,14,10,0
2,2,56,27,8,2,14,5,0
2,1,63,33,8,2,14,5,1
2,4,43,27,6,2,8,0,0
1,4,45,33,2,2,6,2,0
1,2,60,24,6,6,14,10,0
2,1,70,36,8,4,14,7,1
2,1,71,39,8,4,12,8,0
2,2,31,21,4,0,6,0,0
1,4,42,30,4,0,4,4,0
2,1,69,39,8,4,12,5,1
1,4,77,39,8,6,14,8,2
2,4,66,42,6,2,8,7,1
2,2,65,45,8,0,12,0,0
2,1,67,36,8,2,14,7,0
1,4,41,18,4,2,8,9,0
2,4,64,36,2,2,14,8,2
2,1,70,36,8,2,14,10,0
2,4,52,27,4,4,12,5,0
2,4,59,33,8,4,6,8,0
2,1,69,39,8,8,8,6,0
1,1,81,45,8,4,14,8,2
2,4,49,21,8,4,14,2,0
1,4,66,36,6,2,14,8,0
1,1,80,42,8,6,14,7,3
1,4,40,18,4,2,14,2,0
2,1,71,39,8,4,8,9,3
2,4,34,21,0,2,4,7,0
2,1,76,39,8,6,14,7,2
2,2,73,33,8,4,14,10,4
2,4,54,30,4,4,14,2,0
1,4,52,27,8,0,8,7,2
2,1,66,42,8,4,12,0,0
2,1,73,45,4,4,12,8,0
2,4,41,24,8,2,7,0,0
2,1,62,36,8,2,6,10,0
2,4,46,36,4,2,0,4,0
2,2,64,33,8,4,14,5,0
1,4,40,30,2,2,4,0,2
1,2,27,21,4,0,2,0,0
1,1,63,30,8,4,14,7,0
1,4,38,24,8,0,4,2,0
2,1,73,42,6,2,14,8,1
2,2,54,33,4,0,14,3,0
1,4,56,24,4,4,14,10,0
1,4,41,24,8,2,6,0,1
2,2,34,24,4,0,6,0,0
1,4,55,33,6,2,14,0,0
2,4,51,24,6,6,10,5,0
2,4,45,33,4,0,8,0,0
1,4,42,24,6,4,8,0,0
2,2,47,21,8,2,8,7,1
1,4,42,24,8,4,6,0,0
2,4,45,27,4,2,12,0,0
1,1,42,30,8,2,2,0,0
1,2,51,27,8,2,14,0,0
1,2,46,24,4,4,12,2,0
1,4,47,27,4,4,10,2,0
1,4,71,39,8,6,14,4,0
1,4,59,27,8,6,14,2,2
1,4,47,21,8,2,14,2,0
2,1,68,33,8,4,14,7,2
2,1,71,39,8,4,12,7,1
2,1,79,39,8,6,14,10,2
2,1,54,24,8,6,14,2,0
2,4,47,27,4,0,8,8,0
2,1,83,48,6,6,14,7,2
1,1,95,51,6,8,14,10,6
2,2,58,30,8,0,14,6,0
2,1,84,48,8,8,8,10,2
1,1,85,45,8,4,14,8,6
1,1,74,36,8,6,14,7,3
1,4,71,36,8,2,14,9,2
1,1,77,36,8,6,14,10,3
2,4,70,36,6,2,14,10,2
2,2,16,6,0,0,2,2,6
2,1,67,33,0,8,14,10,2
1,1,69,33,8,6,14,8,0
2,1,80,39,8,8,14,10,1
2,1,64,42,6,2,12,2,0
1,1,84,48,8,8,14,4,2
2,1,59,27,8,4,14,4,2
2,4,54,30,6,4,2,10,2
1,4,77,39,8,6,14,10,0
2,1,88,51,8,6,14,7,2
2,4,73,45,4,0,14,7,3
1,4,76,48,8,4,14,2,0
1,2,25,15,8,0,2,0,0
1,2,75,39,8,4,14,10,0
1,4,47,18,8,0,14,7,0
2,4,58,27,8,2,10,7,4
2,2,54,30,4,2,10,8,0
2,2,50,30,2,4,2,10,2
2,2,50,36,6,0,8,0,0
1,4,43,27,4,4,8,0,0
1,4,48,24,4,2,12,6,0
2,4,56,36,8,2,6,4,0
1,4,44,30,8,0,6,0,0
1,4,47,27,6,2,10,2,0
1,4,51,27,8,2,14,0,0
2,4,53,27,8,4,12,0,2
1,4,70,36,8,4,14,8,0
2,4,47,33,6,0,6,2,0
1,4,66,42,8,2,14,0,0
1,4,45,33,2,2,8,0,0
1,1,56,24,6,8,14,4,0
1,4,73.5,45,8,8,8,1.5,3
2,2,56,42,6,0,2,4,0
2,1,82,45,6,8,14,7,2
2,2,82,45,8,8,14,4,3
1,4,57,27,8,6,6,10,0
2,1,68,36,8,2,12,8,2
2,4,68,42,4,2,12,8,0
1,4,64,36,8,4,14,2,0
1,1,63,27,8,6,14,8,0
2,2,27,15,4,2,4,2,0
2,2,49,30,8,2,6,2,1
2,1,63,39,8,0,4,10,2
2,1,70,30,8,8,12,10,2
2,1,88,48,8,6,13,10,3
2,2,50,30,0,4,14,2,0
2,1,73,39,8,2,14,8,2
2,4,58,30,8,4,14,2,0
2,4,28,18,0,0,8,2,0
1,4,54,30,8,0,12,2,2
1,4,59,39,8,2,10,0,0
2,1,62,36,6,6,12,2,0
1,4,66,33,8,2,14,9,0
1,2,60,39,8,2,9,2,0
2,4,47,27,2,0,8,10,0
2,2,46,18,4,2,14,8,0
1,4,72,36,8,8,12,7,1
2,1,70,39,8,6,12,3,2
2,1,44,24,8,2,6,4,0
1,1,89,48,8,6,14,10,3
2,2,50,27,8,2,12,0,1
1,2,81,51,8,2,8,10,2
2,1,69,36,6,2,14,10,1
2,1,82,45,8,4,14,8,3
1,4,57,27,8,6,14,2,0
2,1,87,48,8,8,12,8,3
2,2,68,33,8,2,14,9,2
2,1,81,39,8,8,14,9,3
2,2,46,33,6,2,0,5,0
2,2,73,36,8,4,12,10,3
2,4,56,24,8,6,6,10,2
2,4,58,30,2,8,14,2,2
2,4,66,36,8,6,12,4,0
2,4,42,24,8,6,2,2,0
2,2,92,48,8,8,12,10,6
2,4,62,42,4,4,12,0,0
1,1,91,48,8,6,14,9,6
2,4,33,27,4,0,2,0,0
2,1,57,39,8,6,4,0,0
1,2,41,39,0,0,2,0,0
1,2,44,18,8,2,14,2,0
1,4,53,27,8,2,14,2,0
2,4,41,27,4,2,8,0,0
2,4,60,33,8,0,9,9,1
1,4,60,42,4,4,10,0,0
2,4,41,33,6,2,0,0,0
2,2,54,42,0,0,8,4,0
1,4,75,42,6,4,14,8,1
2,2,53,33,0,6,10,4,0
1,4,42,21,4,2,14,0,1
2,4,57,21,8,6,14,8,0
2,2,61,39,8,4,5,5,0
2,4,69,27,8,8,14,10,2
2,2,82,42,8,6,14,10,2
2,1,92,54,8,6,14,10,0
2,2,49,33,8,0,6,2,0
2,4,33,27,6,0,0,0,0
2,1,55,33,6,4,4,8,0
2,4,41,27,6,4,4,0,0
2,1,73,36,8,8,11,10,0
2,1,77,42,8,8,6,10,3
2,1,22,12,4,0,4,2,0
