Index,Gender,Programme,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
485,2,2,2,54,33,4,0,14,3,0
486,1,4,2,56,24,4,4,14,10,0
487,1,4,2,41,24,8,2,6,0,1
488,2,2,2,34,24,4,0,6,0,0
489,1,4,2,55,33,6,2,14,0,0
490,2,4,2,51,24,6,6,10,5,0
491,2,4,2,45,33,4,0,8,0,0
492,1,4,2,42,24,6,4,8,0,0
493,2,2,2,47,21,8,2,8,7,1
494,1,4,2,42,24,8,4,6,0,0
495,2,4,2,45,27,4,2,12,0,0
496,1,1,2,42,30,8,2,2,0,0
497,1,2,2,51,27,8,2,14,0,0
498,1,2,2,46,24,4,4,12,2,0
499,1,4,2,47,27,4,4,10,2,0
500,1,4,2,71,39,8,6,14,4,0
501,1,4,2,59,27,8,6,14,2,2
502,1,4,2,47,21,8,2,14,2,0
503,2,1,2,68,33,8,4,14,7,2
504,2,1,2,71,39,8,4,12,7,1
505,2,1,2,79,39,8,6,14,10,2
506,2,1,2,54,24,8,6,14,2,0
507,2,4,2,47,27,4,0,8,8,0
508,2,1,2,83,48,6,6,14,7,2
509,1,1,2,95,51,6,8,14,10,6
510,2,2,2,58,30,8,0,14,6,0
511,2,1,2,84,48,8,8,8,10,2
512,1,1,2,85,45,8,4,14,8,6
513,1,1,2,74,36,8,6,14,7,3
514,1,4,2,71,36,8,2,14,9,2
515,1,1,2,77,36,8,6,14,10,3
516,2,4,2,70,36,6,2,14,10,2
517,2,2,2,16,6,0,0,2,2,6
518,2,1,2,67,33,0,8,14,10,2
519,1,1,2,69,33,8,6,14,8,0
520,2,1,2,80,39,8,8,14,10,1
521,2,1,2,64,42,6,2,12,2,0
522,1,1,2,84,48,8,8,14,4,2
523,2,1,2,59,27,8,4,14,4,2
524,2,4,2,54,30,6,4,2,10,2
525,1,4,2,77,39,8,6,14,10,0
526,2,1,2,88,51,8,6,14,7,2
527,2,4,2,73,45,4,0,14,7,3
528,1,4,2,76,48,8,4,14,2,0
529,1,2,2,25,15,8,0,2,0,0
530,1,2,2,75,39,8,4,14,10,0
531,1,4,2,47,18,8,0,14,7,0
532,2,4,2,58,27,8,2,10,7,4
533,2,2,2,54,30,4,2,10,8,0
534,2,2,2,50,30,2,4,2,10,2
535,2,2,2,50,36,6,0,8,0,0
536,1,4,2,43,27,4,4,8,0,0
537,1,4,2,48,24,4,2,12,6,0
538,2,4,2,56,36,8,2,6,4,0
539,1,4,2,44,30,8,0,6,0,0
540,1,4,2,47,27,6,2,10,2,0
541,1,4,2,51,27,8,2,14,0,0
542,2,4,2,53,27,8,4,12,0,2
543,1,4,2,70,36,8,4,14,8,0
544,2,4,2,47,33,6,0,6,2,0
545,1,4,2,66,42,8,2,14,0,0
546,1,4,2,45,33,2,2,8,0,0
547,1,1,2,56,24,6,8,14,4,0
548,1,4,2,73.5,45,8,8,8,1.5,3
549,2,2,2,56,42,6,0,2,4,0
550,2,1,2,82,45,6,8,14,7,2
551,2,2,2,82,45,8,8,14,4,3
552,1,4,2,57,27,8,6,6,10,0
553,2,1,2,68,36,8,2,12,8,2
554,2,4,2,68,42,4,2,12,8,0
555,1,4,2,64,36,8,4,14,2,0
556,1,1,2,63,27,8,6,14,8,0
557,2,2,2,27,15,4,2,4,2,0
558,2,2,2,49,30,8,2,6,2,1
559,2,1,2,63,39,8,0,4,10,2
560,2,1,2,70,30,8,8,12,10,2
561,2,1,2,88,48,8,6,13,10,3
562,2,2,2,50,30,0,4,14,2,0
563,2,1,2,73,39,8,2,14,8,2
564,2,4,2,58,30,8,4,14,2,0
565,2,4,2,28,18,0,0,8,2,0
566,1,4,2,54,30,8,0,12,2,2
567,1,4,2,59,39,8,2,10,0,0
568,2,1,2,62,36,6,6,12,2,0
569,1,4,2,66,33,8,2,14,9,0
570,1,2,2,60,39,8,2,9,2,0
571,2,4,2,47,27,2,0,8,10,0
572,2,2,2,46,18,4,2,14,8,0
573,1,4,2,72,36,8,8,12,7,1
574,2,1,2,70,39,8,6,12,3,2
575,2,1,2,44,24,8,2,6,4,0
576,1,1,2,89,48,8,6,14,10,3
577,2,2,2,50,27,8,2,12,0,1
578,1,2,2,81,51,8,2,8,10,2
579,2,1,2,69,36,6,2,14,10,1
580,2,1,2,82,45,8,4,14,8,3
581,1,4,2,57,27,8,6,14,2,0
582,2,1,2,87,48,8,8,12,8,3
583,2,2,2,68,33,8,2,14,9,2
584,2,1,2,81,39,8,8,14,9,3
586,2,2,2,46,33,6,2,0,5,0
587,2,2,2,73,36,8,4,12,10,3
588,2,4,2,56,24,8,6,6,10,2
589,2,4,2,58,30,2,8,14,2,2
590,2,4,2,66,36,8,6,12,4,0
591,2,4,2,42,24,8,6,2,2,0
592,2,2,2,92,48,8,8,12,10,6
593,2,4,2,62,42,4,4,12,0,0
594,1,1,2,91,48,8,6,14,9,6
595,2,4,2,33,27,4,0,2,0,0
596,2,1,2,57,39,8,6,4,0,0
597,1,2,2,41,39,0,0,2,0,0
598,1,2,2,44,18,8,2,14,2,0
599,1,4,2,53,27,8,2,14,2,0
600,2,4,2,41,27,4,2,8,0,0
601,2,4,2,60,33,8,0,9,9,1
602,1,4,2,60,42,4,4,10,0,0
603,2,4,2,41,33,6,2,0,0,0
604,2,2,2,54,42,0,0,8,4,0
605,1,4,2,75,42,6,4,14,8,1
606,2,2,2,53,33,0,6,10,4,0
607,1,4,2,42,21,4,2,14,0,1
608,2,4,2,57,21,8,6,14,8,0
609,2,2,2,61,39,8,4,5,5,0
610,2,4,2,69,27,8,8,14,10,2
611,2,2,2,82,42,8,6,14,10,2
612,2,1,2,92,54,8,6,14,10,0
613,2,2,2,49,33,8,0,6,2,0
614,2,4,2,33,27,6,0,0,0,0
615,2,1,2,55,33,6,4,4,8,0
616,2,4,2,41,27,6,4,4,0,0
617,2,1,2,73,36,8,8,11,10,0
618,2,1,2,77,42,8,8,6,10,3
619,2,1,2,22,12,4,0,4,2,0
